الكلمة,التشكيل,له_صورة,له_صوت,اسم,فعل,حرف,التحليل,اين-وردت,جملة   ,نوع-الجملة,الوزن-الصرفي,مصروف-ممنوع,المستوى-العمري,الدولة,المصدر,اضافة-ال,نوع-الفعل-ماض-مضارع-امر,صحيح-معتل-الاول-الوسط-الاخر,ID
إصبع,إِصْبَع,,,1,,,إِصْـ-بَـ-ـعٌ,KG1,,,,,,,,,,,
إعلان,إِعْلان,,,1,,,إِعْـ-لا-نٌ,kg2-KG1,,,,,,,,,,,
إلهام,إِلْهام,,,1,,,إِلْـ-ـها-مٌ,kg2,,,,,,,,,,,
إيقاع,إِيقاع,,,1,,,إيـ-قا-عٌ,KG1-1H6,,,,,,,,,,,
إذاعة,إِذاعَة,,,1,,,إِ-ذا-عَـ-ـةٌ,2H12,,,,,,,,,,,
إسراء,إِسْـراء,,,1,,,إِسْـ-را-ءٌ,4H6,,,,,,,,,,,
إشارة,إِشارَة,,,1,,,إِ-شا-رَ-ةٌ,2H17,,,,,,,,,,,
إصبع,إِصْبَع,,,1,,,إصْـ-بَـ-ـعٌ,1H7,,,,,,,,,,,
إصغاء,إِصْغاء,,,1,,,إِصْـ-غا-ءٌ,4H2,,,,,,,,,,,
إطفاء,إِطْفاء,,,1,,,إِطْـ-فا-ءٌ,2H13-4H2,,,,,,,,,,,
إعلان,إِعْلان,,,1,,,إعْـ-لا-نٌ,1H6,,,,,,,,,,,
إلهام,إِلْهام,,,1,,,إِلْـ-ـها-مٌ,2H9,,,,,,,,,,,
إناث,إِناث,,,1,,,إِ-نا-ثٌ,2H2-4H6-4H8,,,,,,,,,,,
إنسان,إِنْسان,,,1,,,إِنْـ-سا-نٌ,2H17-4H3,,,,,,,,,,,
إوز,إِوَزّ,,,1,,,إِ-وَزْ-زٌ,4H8-2H4,,,,,,,,,,,
إوزة,إِوَزَّة,,,1,,,إِ-وَزْ-زَ-ةٌ,2H2,,,,,,,,,,,
إيناس,إيناس,,,1,,,إِيـ-نا-سٌ,4H3,,,,,,,,,,,
أب,أَب,,,1,,,أَ-بٌ,KG1-1H6,,,,,,,,,,,
أبطال,أَبْـطال,,,1,,,أَبْـ-طا-لٌ,kg2-2H7,,,,,,,,,,,
أبناء,أَبْـناء,,,1,,,أَبْـ-نا-ءٌ,kg2,,,,,,,,,,,
أبيض,أَبْيَض,,,1,,,أَبْـ-يَـ-ضُ,kg2-2H2-4H8-S,,,,,,,,,,,
أثاث,أَثاث,,,1,,,أَ-ثا-ثٌ,KG1,,,,,,,,,,,
أحلام,أَحْـلام,,,1,,,أَحْـ-لا-مٌ,kg2,,,,,,,,,,,
أخبار,أَخْـبار,,,1,,,أَخْـ-با-رٌ,kg2,,,,,,,,,,,
أخضر,أَخْـضَر,,,1,,,أَخْـ-ضَـ-رُ,kg2,,,,,,,,,,,
أخطبوط,أَخْـطَبوط,,,1,,,أَخْـ-طَـ-بو-طٌ,kg2,,,,,,,,,,,
أخي,أَخي,,,1,,,أَ-خي,KG1,,,,,,,,,,,
أرز,أَرُزّ,,,1,,,أَ-رُزْ-زٌ,kg2-2H7-4H9,,,,,,,,,,,
أرجل,أَرْجُل,,,1,,,أَرْ-جُـ-لٌ,kg2,,,,,,,,,,,
أرض,أَرْض,,,1,,,أَرْ-ضٌ,KG1,,,,,,,,,,,
أرقام,أَرْقام,,,1,,,أَرْ-قا-مٌ,kg2,,,,,,,,,,,
أرنب,أَرْنَب,,,1,,,أَرْ-نَـ-بٌ,KG1-kg2-1H4-2H5-4H6,,,,,,,,,,,
أراضي,أَراضي,,,1,,,أَ-را-ضي,kg2,,,,,,,,,,,
أريكة,أَريكَة,,,1,,,أَ-ريـ-كَـ-ـةٌ,KG1-1H6,,,,,,,,,,,
أزرار,أَزْرار,,,1,,,أَزْ-را-رٌ,kg2-2H7,,,,,,,,,,,
أزهار,أَزْهار,,,1,,,أَزْ-ها-رٌ,kg2-2H11,,,,,,,,,,,
أسد,أَسَد,,,1,,,أَ-سَـ-دٌ,KG1-kg2-1H6-2H5-4H3,,,,,,,,,,,
أسلاك,أَسْـلاك,,,1,,,أَسْـ-لا-كٌ,kg2,,,,,,,,,,,
أسماك,أَسْـماك,,,1,,,أَسْـ-ما-كٌ,KG1-1H6,,,,,,,,,,,
أسود,أَسْـوَد,,,1,,,أَسْـ-وَ-دُ,KG1-1H7,,,,,,,,,,,
أشبال,أَشْبال,,,1,,,أَشْـ-با-لٌ,kg2,,,,,,,,,,,
أشجار,أَشْجار,,,1,,,أَشْـ-جا-رٌ,KG1-kg2-1H6,,,,,,,,,,,
أشواك,أَشْواك,,,1,,,أَشْـ-وا-كٌ,kg2-2H2,,,,,,,,,,,
أصحاب,أَصْحاب,,,1,,,أَصْـ-حا-بٌ,kg2,,,,,,,,,,,
أصلع,أَصْلَع,,,1,,,أَصْـ-لَـ-ـعٌ,kg2,,,,,,,,,,,
أضواء,أَضْواء,,,1,,,أَضْـ-وا-ءٌ,kg2-2H7-S,,,,,,,,,,,
أطباق,أَطْباق,,,1,,,أَطْـ-با-قٌ,kg2,,,,,,,,,,,
أطفال,أَطْفال,,,1,,,أَطْـ-فا-ل,KG1-kg2-1H4-2H5,,,,,,,,,,,
أطايب,أَطايِب,,,1,,,أَ-طاـ-يِـ-بٌ,kg2,,,,,,,,,,,
أعلام,أَعْلام,,,1,,,أَعْـ-لا-مٌ,KG1-1H6,,,,,,,,,,,
أعمال,أَعْمال,,,1,,,أَعْـ-ما-لٌ,kg2-2H7-S,,,,,,,,,,,
أغنام,أَغْنام,,,1,,,أَغْـ-نا-مٌ,kg2,,,,,,,,,,,
أفعى,أَفْعى,,,1,,,أَفْ-ـعى,KG1-kg2-1H6,,,,,,,,,,,
أفكار,أَفْكار,,,1,,,أَفْـ-كا-رٌ,kg2,,,,,,,,,,,
أقزام,أَقْزام,,,1,,,أَقْـ-زا-مٌ,kg2,,,,,,,,,,,
أقفاص,أَقْفاص,,,1,,,أَقْـ-فا-صٌ,kg2,,,,,,,,,,,
ألعاب,أَلْعاب,,,1,,,أَلْ-ـعا-بٌ,KG1-kg2-1H6,,,,,,,,,,,
ألغاز,أَلْغاز,,,1,,,أَلْـ-غا-زٌ,kg2,,,,,,,,,,,
ألفاظ,أَلْفاظ,,,1,,,أَلْـ-فا-ظٌ,KG1-1H6-2H7,,,,,,,,,,,
ألماس,أَلْماس,,,1,,,أَلْـ-ما-سٌ,kg2-2H4-S,,,,,,,,,,,
ألوان,أَلْوان,,,1,,,أَلْـ-وا-نٌ,KG1-kg2-1H4-1H6-2H5,,,,,,,,,,,
أمثلة,أَمْثِلَة,,,1,,,أَمْـ-ثِـ-لَـ-ـةٌ,kg2,,,,,,,,,,,
أمثال,أَمْثال,,,1,,,أَمْـ-ثا-لٌ,kg2-S,,,,,,,,,,,
أمين,أَمين,,,1,,,أَ-ميـ-نٌ,kg2-S,,,,,,,,,,,
أنس,أَنَس,,,1,,,أَ-نَـ-سٌ,KG1-kg2,,,,,,,,,,,
أنف,أَنْف,,,1,,,أَنْـ-فٌ,KG1-1H6,,,,,,,,,,,
أنيس,أَنيس,,,1,,,أَ-نيـ-سٌ,kg2,,,,,,,,,,,
أوساخ,أَوْساخ,,,1,,,أَوْ-سا-خٌ,KG1-1H6,,,,,,,,,,,
أوراق,أَوْراق,,,1,,,أَوْ-را-قٌ,KG1-1H4,,,,,,,,,,,
أوراق البطيخ,أَوراق البَطيخ,,,1,,,أَو-را-ق,kg2,,,,,,,,,,,
أخطبوط,أَخْـطَبوط,,,1,,,أَخْـ-طَـ-بو-طٌ,KG1-kg2-4H8,,,,,,,,,,,
أذن,أُذُن,,,1,,,أُ-ذُ-نٌ,kg2-2H2-4H8,,,,,,,,,,,
أرجوحة,أُرْجوحَة,,,1,,,أُرْ-جو-حَ-ـةٌ,KG1-4H1-4H2,,,,,,,,,,,
أبناء,أَبْـناء,,,1,,,أَبْـ-نا-ءٌ,2H7,,,,,,,,,,,
أثر,أَثَّرَ,,,,1,,أَثْـ-ثَـ-رٌ,4H4,,,,,,,,,,,
أثاث,أَثاث,,,1,,,أ-ثا-ثٌ,1H4-4H8,,,,,,,,,,,
أثير,أثير,,,1,,,أَ-ثيـ-رٌ,2H11,,,,,,,,,,,
أجيال,أَجْـيال,,,1,,,أَجْـ-يا-لٌ,2H11,,,,,,,,,,,
أحجام,أَحْـجام,,,1,,,أَحْـ-جا-مٌ,4H2,,,,,,,,,,,
أحذية,أَحْـذِيَة,,,1,,,أَحْـ-ذِ-يَ-ـةٌ,2H14,,,,,,,,,,,
أحلام,أَحلام,,,1,,,أَحْـ-لا-مٌ,2H2-2H7,,,,,,,,,,,
أحمد,أَحْـمَد,,,1,,,أَحْـ-مَـ-دٌ,2H7,,,,,,,,,,,
أخبار,أَخْـبار,,,1,,,أَخْـ-با-رٌ,2H9,,,,,,,,,,,
أختام,أَخْـتام,,,1,,,أَخْـ-تا-مٌ,4H2,,,,,,,,,,,
أخلاق,أَخْـلاق,,,1,,,أَخْـ-لا-قٌ,2H16,,,,,,,,,,,
أخوة,أُخْـوَة,,,1,,,أُخْـ-وَ-ةٌ,2H15,,,,,,,,,,,
أخي,أَخي,,,1,,,أَ-خي,1H6,,,,,,,,,,,
أدب,أَدَب,,,1,,,أَ-دَ-بٌ,2H15,,,,,,,,,,,
أذكار,أَذْكار,,,1,,,أَذْ-كا-رٌ,2H7,,,,,,,,,,,
أراضي,أَراضي,,,1,,,أَ-را-ضي,2H11,,,,,,,,,,,
أرجل,أَرْجُل,,,1,,,أَرْ-جُـ-لٌ,2H7,,,,,,,,,,,
أرض,أَرْض,,,1,,,أَرْ-ضٌ,1H4-2H2-4H8,,,,,,,,,,,
أرقام,أَرْقام,,,1,,,أَرْ-قا-مٌ,2H11,,,,,,,,,,,
أساور,أَساوِر,,,1,,,أَ-سا-وِ-رٌ,4H6,,,,,,,,,,,
أسبوع,أُسْـبوع,,,1,,,أُسْـ-بو-ـعٌ,4H3,,,,,,,,,,,
أستاذ,أُسْـتاذ,,,1,,,أُسْـ-تا-ذٌ,4H8,,,,,,,,,,,
أسرار,أَسْـرار,,,1,,,أَسْـ-را-رٌ,4H2,,,,,,,,,,,
أسرة,أُسْـرَة,,,1,,,أُسْـ-رَ-ةٌ,2H4,,,,,,,,,,,
أسعد,أَسْـعَد,,,1,,,أَسْ-ـعَـ-دٌ,2H7,,,,,,,,,,,
أسلاك,أَسْـلاك,,,1,,,أَسْـ-لا-كٌ,1H6,,,,,,,,,,,
أسماك,أَسْـماك,,,1,,,أَسْـ-ما-كٌ,,,,,,,,,,,,
أسنان,أَسْـنان,,,1,,,أَسْـ-نا-نٌ,4H2-4H8,,,,,,,,,,,
أسيد,أُسَيْد,,,1,,,أَ-سَيْـ-دٌ,2H15,,,,,,,,,,,
أشبال,أَشْبال,,,1,,,أَشْـ-با-لٌ,2H7,,,,,,,,,,,
أصابع,أَصابِع,,,1,,,أَ-صا-بِ-ـعٌ,2H2,,,,,,,,,,,
أصباغ,أَصْباغ,,,1,,,أَصْـ-با-غٌ,4H8,,,,,,,,,,,
أصحاب,أَصْحاب,,,1,,,أَصْـ-حا-بٌ,2H7,,,,,,,,,,,
أصدقاء,أَصْدِقاء,,,1,,,أَصْـ-دِ-قا-ءٌ,2H14,,,,,,,,,,,
أصفر,أَصْفَر,,,1,,,أَصْـ-فَـ-رٌ,2H14,,,,,,,,,,,
أصيل,أَصيل,,,1,,,أَ-صيـ-لٌ,2H12,,,,,,,,,,,
أضحى,أَضْحى,,,1,,,أَضْـ-حى,4H2,,,,,,,,,,,
أطايب,أَطايِب,,,1,,,أَ-طا-يِـ-بٌ,2H7-S,,,,,,,,,,,
أطباء,أَطِبّاء,,,1,,,أَ-طِبـْ-با-ءٌ,4H2,,,,,,,,,,,
أطباق,أَطْباق,,,1,,,أَطْـ-با-قٌ,2H7,,,,,,,,,,,
أعشاب,أَعْشابُ,,,1,,,أَعْـ-شا-بٌ,4H5,,,,,,,,,,,
أغنام,أَغْنام,,,1,,,أَغْـ-نا-مٌ,4H2,,,,,,,,,,,
أفكار,أَفْكار,,,1,,,أَفْـ-كا-رٌ,2H11,,,,,,,,,,,
أقاويل,أَقاويل,,,1,,,أَ-قا-ويـ-لٌ,2H12,,,,,,,,,,,
أقزام,أَقْزام,,,1,,,أَقْـ-زا-مٌ,2H11,,,,,,,,,,,
أقفاص,أَقْفاص,,,1,,,أَقْـ-فا-صٌ,2H2,,,,,,,,,,,
أقلام,أَقْلام,,,1,,,أَقْـ-لا-مٌ,2H7,,,,,,,,,,,
ألحان,أَلْحان,,,1,,,أَلْـ-حا-نٌ,4H2,,,,,,,,,,,
ألغاز,أَلْغاز,,,1,,,أَلْـ-ـغا-زٌ,2H11,,,,,,,,,,,
أمام,أَمام,,,1,,,أَ-ما-مَ,1H6,,,,,,,,,,,
أمثلة,أَمْثِلَة,,,1,,,أَمْـ-ثِـ-لَـ-ـةٌ,2H7,,,,,,,,,,,
أمطار,أَمْطار,,,1,,,أَمْـ-طا-رٌ,4H2,,,,,,,,,,,
أمم,أُمَم,,,1,,,أُ-مَـ-مٌ,2H16,,,,,,,,,,,
أناناس,أَناناس,,,1,,,أَ-نا-نا-سٌ,2H2,,,,,,,,,,,
أنس,أَنَس,,,1,,,أَ-نَـ-سٌ,1H6-4H8-2H7,,,,,,,,,,,
أنغام,أَنْغام,,,1,,,أَنْـ-ـغا-مٌ,4H2,,,,,,,,,,,
أنواع,أَنْواع,,,1,,,أَنْـ-وا-عٌ,4H9,,,,,,,,,,,
أنيس,أَنيس,,,1,,,أَ-نيـ-سٌ,2H11,,,,,,,,,,,
أوقات,أَوْقات,,,1,,,أَوْ-قا-تٌ,2H7,,,,,,,,,,,
أيوب,أَيّوب,,,,,,أَيـ-يو-بٌ,S,,,,,,,,,,,
آلام,آلام,,,1,,,آ-لا-مٌ,4H5,,,,,,,,,,,
باب,باب,,,1,,,با-بٌ,KG1-1H6-2H5,,,,,,,,,,,
باسل,باسِل,,,1,,,با-سِـ-لٌ,kg2,,,,,,,,,,,
باسم,باسِم,,,1,,,با-سِـ-مٌ,kg2,,,,,,,,,,,
بالغ,بالِغ,,,1,,,با-لِـ-ـغٌ,kg2-2H2,,,,,,,,,,,
ببغاء,بَبّغاء,,,1,,,بَبْـ-بَـ-ـغا-ءٌ,kg2-2H2,,,,,,,,,,,
بتول,بَتول,,,1,,,بَـ-تو-لٌ,kg2-2H9,,,,,,,,,,,
بحث,بَحْـث,,,1,,,بَحْـ-ثٌ,kg2,,,,,,,,,,,
بحر,بَحْـر,,,1,,,بَحْـ-رٌ,kg2,,,,,,,,,,,
بخيل,بَخيل,,,1,,,بَـ-خيـ-لٌ,kg2,,,,,,,,,,,
بدر,بَدْر,,,1,,,بَدْ-رٌ,KG1-kg2,,,,,,,,,,,
برغوث,بَرْغوث,,,1,,,بَر-غو-ثٌ,KG1-kg2,,,,,,,,,,,
برنامج,بَرْنامَج,,,1,,,بَرْ-نا-مَـ-جٌ,kg2,,,,,,,,,,,
بسمة,بَسْـمَة,,,1,,,بَسْـ-مَـ-ـةٌ,kg2-2H2-2H15,,,,,,,,,,,
بسام,بَسّام,,,1,,,بَسْـ-سا-مٌ,kg2-2H4,,,,,,,,,,,
بصل,بَصَل,,,1,,,بَـ-صَـ-لٌ,KG1-1H6,,,,,,,,,,,
بطة,بَطَّة,,,1,,,بَطْ-طَ-ـةٌ,kg2-KG1,,,,,,,,,,,
بطاطا,بَطاطا,,,1,,,بَـ-طا-طا,kg2,,,,,,,,,,,
بقرة,بَقَرَة,,,1,,,بَـ-قَـ-رَ-ةٌ,KG1-kg2-1H6-2H5-4H8,,,,,,,,,,,
بلح,بَلَح,,,1,,,بَـ-لَـ-حٌ,kg2,,,,,,,,,,,
بلوط,بَلّوط,,,1,,,بَلْـ-لو-طٌ,KG1-kg2,,,,,,,,,,,
بليغ,بَليغ,,,1,,,بَـ-ليـ-ـغٌ,kg2,,,,,,,,,,,
بهيج,بَهيج,,,1,,,بَـ-ـهيـ-جٌ,kg2,,,,,,,,,,,
بيض,بَيْض,,,1,,,بَيْـ-ضٌ,kg2-2H2-2H5-4H8,,,,,,,,,,,
بياض,بَياض,,,1,,,بَـ-يا-ضٌ,KG1-1H6-S,,,,,,,,,,,
بيان,بَيان,,,1,,,بَـ-يا-نٌ,KG1-kg2-1H6-S,,,,,,,,,,,
بيت,بَيت,,,1,,,بَيْـ-تٌ,KG1,,,,,,,,,,,
بيضة,بَيْضَة,,,1,,,بَيْـ-ضَـ-ـةٌ,KG1,,,,,,,,,,,
بثور,بُثور,,,1,,,بُـ-ثو-رٌ,kg2,,,,,,,,,,,
بحيرة,بُحيرة,,,1,,,بُـ-حَيْـ-رَ-ةٌ,KG1-1H6,,,,,,,,,,,
بخار,بُخار,,,1,,,بُـ-خا-رٌ,kg2,,,,,,,,,,,
بذور,بُذور,,,1,,,بُـ-ذو-رٌ,kg2-KG1,,,,,,,,,,,
برتقال,بُرْتُقال,,,1,,,بُرْ-تُـ-قا-لٌ,KG1,,,,,,,,,,,
برج,بُرْج,,,1,,,بُرْ-جٌ,kg2,,,,,,,,,,,
بستان,بُسْـتان,,,1,,,بُسْـ-تا-نٌ,kg2-2H4,,,,,,,,,,,
بشرى,بُشْرى,,,1,,,بُشْـ-رى,kg2,,,,,,,,,,,
بندق,بُنْدُق,,,1,,,بُنْـ-دُ-قٌ,KG1-1H6,,,,,,,,,,,
بوق,بوق,,,1,,,بو-قٌ,KG1,,,,,,,,,,,
بومة,بومَة,,,1,,,بو-مَـ-ـةٌ,kg2,,,,,,,,,,,
بيوت,بُيوت,,,1,,,بُـ-يو-تٌ,kg2-S,,,,,,,,,,,
بحار,بِحار,,,1,,,بِـ-حا-رٌ,kg2,,,,,,,,,,,
بداية,بِدايَة,,,1,,,بِـ-دا-يَـ-ـةٌ,kg2,,,,,,,,,,,
بذرة,بِذْرَة,,,1,,,بِذْ-رَ-ةٌ,kg2,,,,,,,,,,,
بذار,بِذار,,,1,,,بِـ-ذا-رٌ,kg2,,,,,,,,,,,
بركة,بِرْكَة,,,1,,,بِرْ-كَـ-ـةٌ,KG1,,,,,,,,,,,
بساط,بِساط,,,1,,,بِـ-سا-طٌ,KG1-1H6,,,,,,,,,,,
بطريق,بِطْريق,,,1,,,بِطْ-ريـ-قٌ,kg2,,,,,,,,,,,
بطيخ,بِطّيخ,,,1,,,بِطْ-طيـ-خٌ,KG1-kg2-1H4-2H2-2H5-4H8,,,,,,,,,,,
بطيخة,بِطّيخَة,,,1,,,بِطْ-طيـ-خَـ-ـةٌ,kg2,,,,,,,,,,,
بطاقة,بِطاقَة,,,1,,,بِـ-طا-قَـ-ـةٌ,KG1-1H6,,,,,,,,,,,
بنت,بِنْت,,,1,,,بِنْـ-تٌ,KG1-kg2-1H6-4H3,,,,,,,,,,,
بناء,بِناء,,,1,,,بِـ-نا-ءٌ,kg2,,,,,,,,,,,
بارد,بارِد,,,1,,,با-رِ-دٌ,4H4,,,,,,,,,,,
بازغ,بازِغ,,,1,,,با-زِ-غٌ,kg2-2H2,,,,,,,,,,,
باسل,باسِل,,,1,,,با-سِـ-لٌ,2H11,,,,,,,,,,,
باسم,باسِم,,,1,,,با-سِـ-مٌ,1H7,,,,,,,,,,,
بالون,بالون,,,1,,,با-لو-نٌ,1H6-2H5-KG1-kg2,,,,,,,,,,,
باهظ,باهِظ,,,1,,,با-هِ-ظٌ,2H2,,,,,,,,,,,
بائعة,بائِعَة,,,1,,,با-ئِـ-عَـ-ـةٌ,KG1-kg2-1H6,,,,,,,,,,,
بثور,بُثور,,,1,,,بُـ-ثو-رٌ,2H11,,,,,,,,,,,
بحار,بَحّار,,,1,,,بَحْـ-حا-رٌ,4H4,,,,,,,,,,,
بحار,بِحار,,,1,,,بِـ-حا-رٌ,2H7,,,,,,,,,,,
بحث,بَحْـث,,,1,,,بَحْـ-ثٌ,2H2-4H9,,,,,,,,,,,
بحر,بَحْـر,,,1,,,بَحْـ-رٌ,2H2-4H6-4H8,,,,,,,,,,,
بحور,بُحور,,,1,,,بُـ-حو-ر,2H9-4H6,,,,,,,,,,,
بخر,بَخَّرَ,,,,1,,بَخ-خَـ-رَ,4H4,,,,,,,,,,,
بخار,بُخار,,,1,,,بُـ-خا-رٌ,2H2,,,,,,,,,,,
بخيل,بَخيل,,,1,,,بَـ-خيـ-لٌ,2H11,,,,,,,,,,,
بداية,بِدايَة,,,1,,,بِـ-دا-يَـ-ـةٌ,2H11-S,,,,,,,,,,,
بدر,بَدْر,,,1,,,بَدْ-رٌ,1H6,,,,,,,,,,,
بدو,بَدْو,,,1,,,بَدْ-وٌ,1H6,,,,,,,,,,,
بذر,بَذَّرَ,,,,1,,بَذْ-ذَ-رَ,4H4,,,,,,,,,,,
بذار,بِذار,,,1,,,بِـ-ذا-رٌ,,,,,,,,,,,,
بذر,بَذَرَ,,,1,,,بَـ-ذَ-رَ,4H5,,,,,,,,,,,
بذرة,بِذْرَةُ,,,1,,,بِذْ-رَ-ةُ,4H6-2H4,,,,,,,,,,,
بذور,بُذور,,,1,,,بُـ-ذو-رٌ,1H6,,,,,,,,,,,
برتقال,بُرْتُقال,,,1,,,بُرْ-تُـ-قا-لٌ,1H4,,,,,,,,,,,
برج,بُرْج,,,1,,,بُرْ-جٌ,2H2,,,,,,,,,,,
برد,بَرْد,,,1,,,بَرْ-دٌ,4H8,,,,,,,,,,,
برغوث,بَرْغوث,,,1,,,بَرْ-غو-ثٌ,2H9-1H7,,,,,,,,,,,
برغي,بُرْغيّ,,,1,,,بُرْ-غيـ-يٌ,2H9,,,,,,,,,,,
برق,بَرْق,,,1,,,بَرْ-قٌ,4H6,,,,,,,,,,,
بركان,بُرْكان,,,1,,,بُرْ-كا-نٌ,4H1-4H3,,,,,,,,,,,
بركة,بِرْكَة,,,1,,,بِرْ-كَـ-ـةٌ,1H6,,,,,,,,,,,
برنامج,بَرْنامِج,,,1,,,بَرْ-نا-مِجٌ,2H9-4H6-S-4H8,,,,,,,,,,,
بشار,بَشّار,,,1,,,بَشْـ-شا-رٌ,4H4,,,,,,,,,,,
بشار,بُشار,,,1,,,بُـ-شا-رٌ,2H2,,,,,,,,,,,
بشر,بَشَر,,,1,,,بَـ-شَـ-رٌ,2H13,,,,,,,,,,,
بشرى,بُشْرى,,,1,,,بُشْـ-رى,4H1,,,,,,,,,,,
بشير,بَشير,,,1,,,بَـ-شيـ-رٌ,2H12,,,,,,,,,,,
بضاعة,بِضاعَة,,,1,,,بِـ-ضا-عَـ-ـةٌ,2H12,,,,,,,,,,,
بضائع,بَضائِع,,,1,,,بَـ-ضا-ئِـ-ع,2H15,,,,,,,,,,,
بطة,بَطَّة,,,1,,,بَطْـ-طَ-ـةٌ,1H4-2H15-4H5-2H2-2H5,,,,,,,,,,,
بطريق,بِطْريق,,,1,,,بِطْ-ريـ-قٌ,2H4-2H5,,,,,,,,,,,
بطل,بَطَل,,,1,,,بَـ-طَـ-لٌ,2H15-4H3,,,,,,,,,,,
بطولة,بُطولَة,,,1,,,بُـ-طو-لَـ-ـةٌ,2H14,,,,,,,,,,,
بقر,بَقَر,,,1,,,بَـ-قَـ-رٌ,4H1,,,,,,,,,,,
بكاء,بُكاء,,,1,,,بُـ-كا-ءٌ,2H15-4H6,,,,,,,,,,,
بلوط,بَلّوط,,,1,,,بَلْـ-لو-طٌ,2H2,,,,,,,,,,,
بلاغ,بَلاغ,,,1,,,بَـ-لا-غٌ,4H8,,,,,,,,,,,
بلح,بَلَح,,,1,,,بَـ-لَـ-حٌ,2H4-4H9,,,,,,,,,,,
بلسم,بَلْسَم,,,1,,,بَلْـ-سَـ-مٌ,2H14,,,,,,,,,,,
بلعوم,بُلْعوم,,,1,,,بُلْـ-ـعو-مٌ,2H12,,,,,,,,,,,
بليغ,بَليغ,,,1,,,بَـ-ليـ-ـغٌ,2H7,,,,,,,,,,,
محراث,مِحْـراث,,,1,,,مِحْـ-را-ثٌ,4H8,,,,,,,,,,,
بناء,بِناء,,,1,,,بِـ-نا-ءٌ,2H7,,,,,,,,,,,
بنطال,بِنْطال,,,1,,,بِنْـ-طا-لٌ,2H15,,,,,,,,,,,
بهيج,بَهيج,,,1,,,بَـ-ـهيـ-جٌ,2H2,,,,,,,,,,,
بواب,بَوّاب,,,1,,,بَوْ-وا-بٌ,4H4,,,,,,,,,,,
بوشار,بوشار,,,1,,,بو-شا-رٌ,kg2,,,,,,,,,,,
بوق,بوق,,,1,,,بو-قٌ,1H6-KG1-kg2,,,,,,,,,,,
بومة,بومَة,,,1,,,بو-مَـ-ـةٌ,kg2,,,,,,,,,,,
بيت,بَيْت,,,1,,, ,2H2-4H8,,,,,,,,,,,
بيت الدمى,بَيْتُ الدُّمى,,,1,,,؟؟؟؟,kg2,,,,,,,,,,,
بيوض,بُيوض,,,1,,,بُـ-يو-ضٌ,2H11,,,,,,,,,,,
بئر,بِئْر,,,1,,,بِئْـ-رٌ,2H17,,,,,,,,,,,
تاج,تاج,,,1,,,تا-جٌ,KG1-1H4-2H5-4H8-KG1-kg2,,,,,,,,,,,
تاجر,تاجِر,,,1,,,تا-جِـ-رٌ,kg2,,,,,,,,,,,
تاريخ,تاريخ,,,1,,,تا-ريـ-خٌ,kg2-2H2-4H9-4H8,,,,,,,,,,,
تذاكر,تَذاكِر,,,1,,,تَـ-ذا-كِـ-رٌ,KG1-kg2-1H6,,,,,,,,,,,
تركيب,تَرْكيب,,,1,,,تَرْ-كيـ-بٌ,kg2,,,,,,,,,,,
تغريد,تَغْريد,,,1,,,تَغْـ-ريـ-دٌ,kg2,,,,,,,,,,,
تغيير,تَغْيير,,,1,,,تَغْـ-ييـ-رٌ,kg2,,,,,,,,,,,
